Species,Publication Author,LSID,Category of Use,Crop Wild Relative,Source
Alocasia lancifolia,Engl.,84188-1,Invertebrate Food,False,Useful Plants of New Guinea
Alocasia lauterbachiana,(Engl.) A.Hay,962407-1,Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea
Alocasia longiloba,Miq.,84195-1,Environmental Uses; Medicines; Poisons,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea; Plant Resources of South-East Asia (PROSEA)
Alocasia macrorrhizos,(L.) G.Don,60444565-2,Animal Food; Environmental Uses; Gene Sources; Human Food; Materials; Medicines; Poisons; Social Uses,False,
Alocasia micholitziana,Sander,84208-1,Environmental Uses; Gene Sources,False,Germplasm Resources Information Network from USDA (GRIN)
Alocasia nicolsonii,A.Hay,959172-1,Animal Food; Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea
Alocasia odora,(G.Lodd.) Spach,60469948-2,Environmental Uses; Gene Sources,False,Germplasm Resources Information Network from USDA (GRIN)
Alocasia portei,Schott,77177330-1,Environmental Uses; Medicines; Poisons,False,Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea; Plant Resources of South-East Asia (PROSEA)
Alocasia robusta,M.Hotta,84238-1,Gene Sources,False,Germplasm Resources Information Network from USDA (GRIN)
Alocasia sanderiana,W.Bull,84242-1,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Amorphophallus abyssinicus,(A.Rich.) N.E.Br.,84291-1,Human Food; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Amorphophallus albus,P.Y.Liu & J.F.Chen,972136-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Amorphophallus aphyllus,(Hook.) Hutch.,84298-1,Environmental Uses; Human Food; Medicines; Poisons,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Amorphophallus bulbifer,(Roxb.) Blume,84310-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Amorphophallus commutatus,(Schott) Engl.,84322-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Amorphophallus dracontioides,(Engl.) N.E.Br.,84333-1,Materials; Medicines; Poisons; Social Uses,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Amorphophallus galbra,F.M.Bailey,84350-1,Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea
Amorphophallus johnsonii,N.E.Br.,84372-1,Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Amorphophallus konjac,K.Koch,84377-1,Environmental Uses; Human Food; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Amorphophallus margaritifer,(Roxb.) Kunth,84399-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Amorphophallus maximus,(Engl.) N.E.Br.,84400-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Amorphophallus napalensis,(Wall.) Bogner & Mayo,969029-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Amorphophallus paeoniifolius,(Dennst.) Nicolson,60444138-2,Animal Food; Gene Sources; Human Food; Medicines; Poisons; Social Uses,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea; Plant Resources of South-East Asia (PROSEA); Plant Resources for Tropical Africa (PROTA)
Amorphophallus prainii,Hook.f.,84426-1,Medicines; Poisons,False,Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Amorphophallus smithsonianus,Sivadasan,936755-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Amorphophallus sylvaticus,(Roxb.) Kunth,84452-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Amorphophallus titanum,(Becc.) Becc.,84456-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN); Plant Resources of South-East Asia (PROSEA)
Amorphophallus variabilis,Blume,84460-1,Animal Food; Human Food; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Amydrium humile,Schott,84473-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Amydrium sinense,(Engl.) H.Li,84476-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Amydrium zippelianum,(Schott) Nicolson,84477-1,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea
Anaphyllum wightii,Schott,84492-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Anchomanes difformis,(Blume) Engl.,84497-1,Environmental Uses; Human Food; Materials; Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Anchomanes giganteus,Engl.,84499-1,Environmental Uses; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Anthurium affine,Schott,272224-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Anthurium andraeanum,Linden ex André,84549-1,Environmental Uses; Medicines; Poisons,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA)
Anthurium cordatum,(L.) Schott,84691-1,Materials,False,Kew's Economic Botany Collection (EcBot)
Anthurium crassinervium,(Jacq.) Schott,84707-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Anthurium eminens,Schott,84777-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Anthurium gracile,(Rudge) Lindl.,84849-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Anthurium infectorium,R.E.Schult.,15361-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Anthurium jenmanii,Engl.,15369-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Anthurium nymphaeifolium,K.Koch & C.D.Bouché,85127-1,Gene Sources,False,Germplasm Resources Information Network from USDA (GRIN)
Anthurium oxycarpum,Poepp.,272336-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Anthurium palmatum,(L.) Schott,85170-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Anthurium paraguayense,Engl.,15552-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Anthurium pentaphyllum,(Aubl.) G.Don,85201-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Anthurium scandens,(Aubl.) Engl.,85333-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Anthurium scherzerianum,Schott,85334-1,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Anthurium schlechtendalii,Kunth,85335-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Anthurium uleanum,Engl.,15792-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Anthurium verapazense,Engl.,15812-2,Medicines,False,Medicinal Plant Names Services (MPNS)
Anthurium willdenowii,Kunth,85501-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Anubias afzelii,Schott,85518-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Anubias hastifolia,Engl.,85529-1,Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
Arisaema album,N.E.Br.,85560-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Arisaema amurense,Maxim.,85565-1,Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Arisaema barnesii,C.E.C.Fisch.,85582-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Arisaema concinnum,Schott,85608-1,Human Food; Medicines,False,Medicinal Plant Names Services (MPNS)
Arisaema consanguineum,Schott,85609-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Arisaema costatum,(Wall.) Mart.,85614-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Arisaema decipiens,Schott,85623-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Arisaema dracontium,(L.) Schott,85629-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Arisaema elephas,Buchet,85632-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Arisaema erubescens,(Wall.) Schott,85637-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Arisaema flavum,(Forssk.) Schott,85646-1,Environmental Uses; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA)
Arisaema franchetianum,Engl.,85649-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Arisaema heterophyllum,Blume,85667-1,Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Arisaema intermedium,Blume,85677-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Arisaema jacquemontii,Blume,85681-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Arisaema japonicum,Blume,85682-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Arisaema leschenaultii,Blume,85697-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Arisaema murrayi,(J.Graham) Hook.,85728-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Arisaema propinquum,Schott,85768-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Arisaema quinatum,(Nutt.) Schott,85777-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Arisaema ringens,(Thunb.) Schott,85782-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Arisaema serratum,(Thunb.) Schott,85796-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Arisaema speciosum,(Wall.) Mart.,85815-1,Environmental Uses; Human Food; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Arisaema thunbergii,Blume,85839-1,Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Arisaema tortuosum,(Wall.) Schott,85841-1,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Arisaema triphyllum,(L.) Schott,1107169-2,Environmental Uses; Medicines; Poisons,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Arisaema utile,Hook.f. ex Schott,85854-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Arisaema yunnanense,Buchet,85870-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Arisarum vulgare,O.Targ.Tozz.,85902-1,Animal Food; Human Food; Medicines,False,Medicinal Plant Names Services (MPNS); Survey of Economic Plants for Arid and Semi-Arid Lands (SEPASAL)
Arum cylindraceum,Gasp.,85982-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Arum italicum,Mill.,86047-1,Environmental Uses; Materials; Medicines,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Arum korolkowii,Regel,86049-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Arum maculatum,L.,86067-1,Environmental Uses; Materials; Medicines; Poisons,False,Kew's Economic Botany Collection (EcBot); Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Arum palaestinum,Boiss.,86101-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Arum rupicola,Boiss.,86140-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Asterostigma luschnathianum,Schott,86204-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Caladium bicolor,(Aiton) Vent.,30010088-2,Environmental Uses; Gene Sources; Human Food; Medicines; Poisons,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Useful Plants of New Guinea; Plant Resources of South-East Asia (PROSEA); Plant Resources for Tropical Africa (PROTA)
Caladium humboldtii,(Raf.) Schott,86359-1,Environmental Uses; Medicines; Poisons,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Caladium lindenii,(André) Madison,40313-2,Environmental Uses,False,Plant Resources of South-East Asia (PROSEA)
Caladium picturatum,K.Koch & C.D.Bouché,86411-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Caladium schomburgkii,Schott,86446-1,Environmental Uses; Gene Sources,False,Germplasm Resources Information Network from USDA (GRIN)
Calla palustris,L.,86508-1,Environmental Uses; Medicines; Poisons,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Cercestis afzelii,Schott,86537-1,Materials; Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Cercestis camerunensis,(Ntépé-Nyamè) Bogner,943022-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Cercestis congoensis,Engl.,86540-1,Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources for Tropical Africa (PROTA)
Cercestis mirabilis,(N.E.Br.) Bogner,943021-1,Environmental Uses; Gene Sources; Human Food; Materials; Medicines; Social Uses,False,Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA); Plant Resources for Tropical Africa (PROTA); Useful Plants of West Tropical Africa (UPWTA)
Colocasia affinis,Schott,86578-1,Gene Sources; Medicines,True,Medicinal Plant Names Services (MPNS)
Colocasia esculenta,(L.) Schott,1170772-2,Animal Food; Environmental Uses; Gene Sources; Human Food; Materials; Medicines; Poisons; Social Uses,True,
Colocasia fallax,Schott,86589-1,Gene Sources,True,
Colocasia mannii,Hook.f.,86605-1,Gene Sources,True,
Colocasia menglaensis,"J.T.Yin, H.Li & Z.F.Xu",77061409-1,Gene Sources,True,
Colocasia oresbia,A.Hay,991536-1,Gene Sources,True,
Cryptocoryne alba,de Wit,77176997-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Cryptocoryne beckettii,Thuill. ex Trim.,86663-1,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Cryptocoryne bogneri,Rataj,86666-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Cryptocoryne ciliata,(Roxb.) Schott,86671-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN); Useful Plants of New Guinea
Cryptocoryne cordata,Griff.,86676-1,Medicines,False,Medicinal Plant Names Services (MPNS); Plant Resources of South-East Asia (PROSEA)
Cryptocoryne crispatula,Engl.,86678-1,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Cryptocoryne lingua,Becc. ex Engl.,86709-1,Environmental Uses,False,Germplasm Resources Information Network from USDA (GRIN)
Cryptocoryne nevillii,Trimen,86716-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Cryptocoryne parva,de Wit,86720-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Cryptocoryne retrospiralis,(Roxb.) Kunth,86725-1,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Cryptocoryne spiralis,(Retz.) Fisch. ex Wydler,86733-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Cryptocoryne thwaitesii,Schott,86737-1,Medicines,False,Kew's Economic Botany Collection (EcBot); Medicinal Plant Names Services (MPNS)
Cryptocoryne undulata,Wendt,86741-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Cryptocoryne walkeri,Schott,86749-1,Medicines,False,Medicinal Plant Names Services (MPNS)
Cryptocoryne wendtii,de Wit,86750-1,Environmental Uses; Medicines,False,Germplasm Resources Information Network from USDA (GRIN); Medicinal Plant Names Services (MPNS)
Culcasia angolensis,Welw. ex Schott,86758-1,Medicines,False,Medicinal Plant Names Services (MPNS); Useful Plants of West Tropical Africa (UPWTA)
