scientificname,dominant biome,dominant climatic moisture index,flower color,flower sex,flowering lag time: number of days from exposition start to flowering,flowering requirement (requirement for fertility),fruit type,plant flowering,plant growth form,plant growth temperature range,plant height,plant human usage types,plant lifespan (longevity),plant lifespan: age trees reach in forested stands,plant woodiness,seed germination base temperature,seed germination base water potential,seed germination lag time,seed germination requirement,seed germination temperature,seed germination type,wood growth ring distinction,Category of Use,Crop Wild Relative,native to,native range
euplassa rufa,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Brazil,South America
euplassa saxicola,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Tree,,,,,,W,,,,,,,,Materials,False,Colombia,South America
euplassa semicostata,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,Tree,,,,,,,,,,,,,,,,Brazil,South America
euplassa taubertiana,,,,,,,,,Free-standing,,,,,,,,,,,,,,,,Brazil,South America
faurea arborea,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,Medicines,False,Kenya|Uganda|United Republic of Tanzania,Eastern Africa
faurea coriacea,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,Madagascar,Eastern Africa
faurea delevoyi,tropical (min temp coldest month 18°C or higher) (1),moist (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,Angola|Democratic Republic of the Congo|Malawi|Mozambique|United Republic of Tanzania|Zambia|Zimbabwe,Middle Africa|Eastern Africa
faurea discolor,,,,,,,,,Free-standing,,,,,,,,,,,,,,,,Angola|Democratic Republic of the Congo|Malawi|Zambia,Middle Africa|Eastern Africa
faurea forficuliflora,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (2) | moist (3),,,,,,,Free-standing,,,,,,W,,,,,,,,Materials,False,Madagascar,Eastern Africa
faurea galpinii,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),dry sub-humid (9),,,,,,,Free-standing,,,,,,,,,,,,,,,,Eswatini|South Africa,Southern Africa
faurea intermedia,tropical (min temp coldest month 18°C or higher) (1),moist (1),,,,,,,Free-standing,,,,,,,,,,,,,,Materials,False,Angola|Democratic Republic of the Congo|United Republic of Tanzania|Zambia,Middle Africa|Eastern Africa
faurea lucida,,,,,,,,,Free-standing,,,,,,,,,,,,,,,,Democratic Republic of the Congo,Middle Africa
faurea macnaughtonii,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),moist (2) | dry sub-humid (3),,,,,,,tree,,,,,,woody,,,,,,,,Fuels; Materials; Medicines; Poisons,False,Eswatini|South Africa,Southern Africa
faurea racemosa,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,Malawi|Mozambique,Eastern Africa
faurea recondita,,,,,,,,,,,,,,,,,,,,,,,,,South Africa,Southern Africa
faurea rochetiana,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),moist (9),,,,,,,Free-standing,,,,,,,,,,,,,,Fuels; Materials; Medicines,False,Angola|Benin|Burundi|Cameroon|Democratic Republic of the Congo|Eritrea|Eswatini|Ethiopia|Kenya|Malawi|Mozambique|Nigeria|Rwanda|South Africa|South Sudan|Togo|Uganda|United Republic of Tanzania|Zambia|Zimbabwe,Middle Africa|Western Africa|Eastern Africa|Southern Africa
faurea rubriflora,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Mozambique|Zimbabwe,Eastern Africa
faurea saligna,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),moist (9) | dry sub-humid (9),,,,,,,No,,,,,,W,,,,,,,,Animal Food; Environmental Uses; Fuels; Human Food; Invertebrate Food; Materials; Medicines; Poisons,False,Angola|Botswana|Burundi|Democratic Republic of the Congo|Eswatini|Kenya|Malawi|Mozambique|Rwanda|South Africa|Uganda|United Republic of Tanzania|Zambia|Zimbabwe,Middle Africa|Southern Africa|Eastern Africa
faurea wentzeliana,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,Free-standing,,,,,,,,,,,,,,,,Burundi|Democratic Republic of the Congo|Kenya|Malawi|Rwanda|Uganda|United Republic of Tanzania,Eastern Africa|Middle Africa
finschia carrii,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Papua New Guinea,Melanesia
finschia chloroxantha,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Free-standing,,,,,,,,,,,,,,Animal Food; Human Food; Materials; Medicines,False,Indonesia|Palau|Papua New Guinea|Solomon Islands|Vanuatu,South-eastern Asia|Micronesia|Melanesia
finschia ferruginiflora,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,Human Food,False,Papua New Guinea,Melanesia
finschia rufa,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Free-standing,,,,,,,,,,,,,,Animal Food; Human Food,False,Papua New Guinea,Melanesia
floydia praealta,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,woody,,,,,,woody,,,,,,,,,,Australia,Australia and New Zealand
garnieria spathulifolia,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Free-standing,,,,,,W,,,,,,,,,,New Caledonia,Melanesia
gevuina avellana,subtropical (9),wet (9),,,,,,,tree,,,,97,,W,,,,2.5,,,,Environmental Uses; Human Food; Materials; Medicines,False,Argentina|Chile,South America
grevillea agrifolia,tropical (min temp coldest month 18°C or higher) (1),dry sub-humid (9),,,,,,,Free-standing,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
grevillea albiflora,tropical (min temp coldest month 18°C or higher) (1),semi-arid (2) | arid (3),,,,,,,Free-standing,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
grevillea baileyana,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,woody,,,,,,W,,,,,,,,Fuels; Materials; Social Uses,False,Australia,Australia and New Zealand
grevillea banksii,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),moist (9) | dry sub-humid (9),,,,,,,Tree,,,,,,W,,,,,,,,Environmental Uses; Fuels; Materials,False,Australia,Australia and New Zealand
grevillea barklyana,tropical (min temp coldest month less than 18°C) (2) | subtropical (3),wet (1),,,,,,,shrub,,,,,,woody,,,,,,,,,,Australia,Australia and New Zealand
grevillea calcicola,tropical (min temp coldest month 18°C or higher) (1),arid (1),,,,,,,Free-standing,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
grevillea coriacea,,,,,,,,,Free-standing,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
grevillea dimidiata,tropical (min temp coldest month 18°C or higher) (1),moist (9) | dry sub-humid (9),,,,,,,shrub,,,,,,W,,,,,,,,Materials; Poisons,False,Australia,Australia and New Zealand
grevillea donaldiana,tropical (min temp coldest month 18°C or higher) (1),moist (2) | dry sub-humid (3),,,,,,,Free-standing,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
grevillea erythroclada,tropical (min temp coldest month 18°C or higher) (1),dry sub-humid (9),,,,,,,Free-standing,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
grevillea exul,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Free-standing,,,,,,W,,,,,,,semi,,,New Caledonia,Melanesia
grevillea gillivrayi,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,Free-standing,,,,,,W,,,,,,,,Medicines,False,New Caledonia,Melanesia
grevillea glauca,tropical (min temp coldest month 18°C or higher) (1),moist (9) | dry sub-humid (9),,,,,,,shrub/tree/woody,,,,,,W,,,,,,,,Materials; Social Uses,False,Australia|Indonesia|Papua New Guinea,Australia and New Zealand|South-eastern Asia|Melanesia
grevillea heliosperma,tropical (min temp coldest month 18°C or higher) (1),moist (9) | dry sub-humid (9),,,,,,,shrub,,,,,,W,,,,,,,,Medicines,False,Australia,Australia and New Zealand
grevillea helmsiae,tropical (min temp coldest month 18°C or higher) (1),dry sub-humid (9),,,,,,,Free-standing,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
grevillea hilliana,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (2) | moist (3),,,,,,,tree,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
grevillea juncifolia,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),semi-arid (2) | arid (3),,,,,,,Tree,,,,,,W,,,,,,,,Medicines,False,Australia,Australia and New Zealand
grevillea meisneri,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,New Caledonia,Melanesia
grevillea mimosoides,tropical (min temp coldest month 18°C or higher) (1),dry sub-humid (9),,,,,,,shrub/tree,,,,,,W,,,,,,,,Poisons,False,Australia,Australia and New Zealand
grevillea nematophylla,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),semi-arid (2) | arid (3),,,,,,,woody,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
grevillea papuana,tropical (min temp coldest month less than 18°C) (9) | subtropical (9) | temperate (9),very wet (2) | wet (3),,,,,,,woody,,,,,,W,,,,,,,,Environmental Uses; Fuels; Materials; Medicines; Social Uses,False,Papua New Guinea,Melanesia
grevillea parallela,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),moist (9) | dry sub-humid (9),,,,,,,shrub/tree/woody,,,,,,W,,,,,,,,Materials,False,Australia,Australia and New Zealand
grevillea refracta,tropical (min temp coldest month 18°C or higher) (1),dry sub-humid (9) | semi-arid (9),,,,,,,woody,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
grevillea robusta,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),moist (9) | dry sub-humid (9),,,,,,,tree,,,FALSE,perennial,,W,,,,,,,,Animal Food; Environmental Uses; Fuels; Gene Sources; Human Food; Invertebrate Food; Materials; Medicines; Poisons,False,Australia,Australia and New Zealand
grevillea sessilis,tropical (min temp coldest month 18°C or higher) (1),dry sub-humid (9),,,,,,,Free-standing,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
grevillea stenobotrya,tropical (min temp coldest month 18°C or higher) (1),semi-arid (2) | arid (3),,,,,,,woody,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
grevillea striata,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),semi-arid (9),,,,,,,tree,,,,perennial > 20 years,,woody,,,,,,,,Materials; Medicines,False,Australia,Australia and New Zealand
grevillea whiteana,tropical (min temp coldest month 18°C or higher) (1),dry sub-humid (2) | semi-arid (3),,,,,,,Free-standing,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
hakea actites,,,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
hakea arborescens,tropical (min temp coldest month 18°C or higher) (1),dry sub-humid (9),,,,,,,tree,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
hakea archaeoides,,,,,,,,,Free-standing,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
hakea chordophylla,tropical (min temp coldest month 18°C or higher) (1),semi-arid (2) | arid (3),,,,,,,Free-standing,,,,,,W,,,,,,,,Animal Food; Human Food,False,Australia,Australia and New Zealand
hakea constablei,,,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
hakea dactyloides,,,,,,,,,tree / shrub,,,,30,,woody,,,,,,,,Materials,False,Australia,Australia and New Zealand
hakea decurrens,,,,,,,,,ST,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
hakea divaricata,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),semi-arid (2) | arid (3),,,,,,,Tree,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
hakea ednieana,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),semi-arid (2) | arid (3),,,,,,,Free-standing,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
hakea eriantha,,,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
hakea eyreana,tropical (min temp coldest month 18°C or higher) (1),arid (1),,,,,,,tree,,,,,,woody,,,,,,,,Medicines,False,Australia,Australia and New Zealand
hakea fraseri,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),dry sub-humid (9),,,,,,,Free-standing,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
hakea grammatophylla,,,,,,,,,shrub,,,,,,woody,,,,,,,,,,Australia,Australia and New Zealand
hakea ivoryi,tropical (min temp coldest month 18°C or higher) (1),semi-arid (2) | arid (3),,,,,,,tree,,,,perennial > 20 years,,woody,,,,,,,,,,Australia,Australia and New Zealand
hakea laurina,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),dry sub-humid (9),,,,,,,shrub,,,,,,woody,,,,,,,,,,Australia,Australia and New Zealand
hakea leucoptera,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),semi-arid (2) | arid (3),,,,,,,Tree,,,,perennial > 20 years,,woody,,,,,,,,,,Australia,Australia and New Zealand
hakea lissosperma,,,,,,,,,T,,,,,,W,,,,,,,semi-ring-porous,,,Australia,Australia and New Zealand
hakea lorea,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),semi-arid (9),,,,,,,shrub/tree/woody,,,,,,W,,,,,,,,Medicines,False,Australia,Australia and New Zealand
hakea macraeana,,,,,,,,,shrub/tree,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
hakea macrorrhyncha,,,,,,,,,shrub/tree/woody,,,,20,,W,,,,,,,,,,Australia,Australia and New Zealand
hakea ochroptera,,,,,,,,,Free-standing,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
hakea oleifolia,tropical (min temp coldest month 18°C or higher) (1),moist (9),,,,,,,shrub,,,,,,woody,,,,,,,,,,Australia,Australia and New Zealand
hakea pandanicarpa,,,,,,,,,shrub,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
hakea pedunculata,,,,,,,,,Free-standing,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
hakea persiehana,,,,,,,,,tree/woody,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
hakea petiolaris,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),dry sub-humid (9),,,,,,,shrub,,,,,,woody,,,,,,,,,,Australia,Australia and New Zealand
hakea preissii,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),semi-arid (2) | arid (3),,,,,,,shrub,,,,,,woody,,,,,,,,,,Australia,Australia and New Zealand
hakea propinqua,,,,,,,,,shrub,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
hakea prostrata,,,,,,,,,shrub,,,,,,woody,,,,,,,,,,Australia,Australia and New Zealand
hakea pulvinifera,,,,,,,,,Free-standing,,,,,,W,,,,,,,,,,Australia,Australia and New Zealand
hakea salicifolia,tropical (min temp coldest month less than 18°C) (9),moist (9),,,,,,,shrub,,,,,,W,,,,,,,,Environmental Uses; Materials,False,Eswatini|South Africa,Southern Africa
hakea stenophylla,tropical (min temp coldest month 18°C or higher) (1),semi-arid (2) | arid (3),,,,,,,shrub,,,,,,woody,,,,,,,,,,Australia,Australia and New Zealand
hakea tephrosperma,,,,,,,,,shrub,,,,,,woody,,,,,,,,,,Australia,Australia and New Zealand
helicia acutifolia,tropical (min temp coldest month 18°C or higher) (1),very wet (1),,,,,,,,,,,,,,,,,,,,,,,Papua New Guinea,Melanesia
helicia albiflora,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),very wet (2) | wet (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Papua New Guinea,Melanesia
helicia amplifolia,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,Papua New Guinea,Melanesia
helicia attenuata,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Indonesia|Malaysia|Thailand,South-eastern Asia
helicia australasica,tropical (min temp coldest month 18°C or higher) (1),wet (2) | moist (3),,,,,,,tree,,,,,,W,,,,,,,,Medicines,False,Australia|Papua New Guinea,Australia and New Zealand|Melanesia
helicia blakei,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Australia,Australia and New Zealand
helicia calocoma,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Papua New Guinea,Melanesia
helicia ceylanica,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Sri Lanka,Southern Asia
helicia clivicola,tropical (min temp coldest month less than 18°C) (1),wet (2) | moist (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,China,Eastern Asia
helicia cochinchinensis,tropical (min temp coldest month less than 18°C) (9),very wet (2) | wet (3),,,,,,,shrub,,,,no,,woody,,,,,,,,Human Food; Materials,False,"Cambodia|China|China, Hong Kong Special Administrative Region|Japan|Thailand|Viet Nam",South-eastern Asia|Eastern Asia
helicia dongxingensis,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,China,Eastern Asia
helicia elephanti,,,,,,,,,,,,,,,,,,,,,,,,,Cambodia,South-eastern Asia
helicia excelsa,tropical (min temp coldest month 18°C or higher) (1),wet (9),,,,,,,woody,,,,,,W,,,,,,,,Materials; Medicines,False,Cambodia|India|Indonesia|Lao People's Democratic Republic|Malaysia|Myanmar|Thailand|Viet Nam,South-eastern Asia|Southern Asia
helicia falcata,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,China|Viet Nam,Eastern Asia|South-eastern Asia
helicia ferruginea,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (1),,,,,,,tree,,,,,,woody,,,,,,,,,,Australia,Australia and New Zealand
helicia finisterrae,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,,,,,,,,,,,,,,,,,Indonesia|Papua New Guinea,South-eastern Asia|Melanesia
helicia formosana,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (9),,,,,,,Tree,,,,Perennial,,Woody,,,,,,,,Materials,False,"China|Lao People's Democratic Republic|Taiwan, Province of China|Thailand|Viet Nam",Eastern Asia|South-eastern Asia
helicia fragilis,,,,,,,,,,,,,,,,,,,,,,,,,Indonesia,South-eastern Asia
helicia fuscotomentosa,tropical (min temp coldest month 18°C or higher) (1),very wet (2) | wet (3),,,,,,,Free-standing,,,,,,,,,,,,,,,,Brunei Darussalam|Indonesia|Malaysia,South-eastern Asia
helicia glabriflora,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (2) | moist (3),,,,,,,tree,,,,,,woody,,,,,,,,,,Australia,Australia and New Zealand
helicia graciliflora,,,,,,,,,,,,,,,,,,,,,,,,,Philippines,South-eastern Asia
helicia grandifolia,tropical (min temp coldest month 18°C or higher) (1),wet (1),,,,,,,,,,,,,,,,,,,,,,,Viet Nam,South-eastern Asia
helicia grandis,tropical (min temp coldest month 18°C or higher) (2) | tropical (min temp coldest month less than 18°C) (3),wet (1),,,,,,,Free-standing,,,,,,,,,,,,,,,,China|Viet Nam,Eastern Asia|South-eastern Asia
