SpeciesName,Flower color,Flower sex,Flowering lag time: number of days from exposition start to flowering,Flowering requirement (requirement for fertility),Fruit type,Plant flowering,Plant growth form,Plant growth temperature range,Plant height,Plant human usage types,Plant lifespan (longevity),Plant lifespan: age trees reach in forested stands,Plant woodiness,Seed germination base temperature,Seed germination base water potential,Seed germination lag time,Seed germination requirement,Seed germination temperature,Seed germination type,Wood growth ring distinction
#Acacia baileyana F.Muell.,,,,,dry,,,,,,,,,,,,,,,
#Acacia dealbata Link,,,,,dry,,,,,,,,,,,,,,,
#Acacia decurrens Willd.,,,,,dry,,,,,,,,,,,,,,,
#Acacia elata A.Cunn. ex Benth.,,,,,dry,,,,,,,,,,,,,,,
#Acacia iteaphylla F.Muell. ex Benth.,,,,,dry,,,,,,,,,,,,,,,
#Acacia longifolia (Andrews) Willd.,,,,,dry,,,,,,,,,,,,,,,
#Acacia mearnsii De Wild.,,,,,dry,,,,,,,,,,,,,,,
#Acacia podalyriifolia A.Cunn. ex G.Don,,,,,dry,,,,,,,,,,,,,,,
#Acacia pycnantha Benth.,,,,,dry,,,,,,,,,,,,,,,
#Acacia saligna (Labill.) H.L.Wendl.,,,,,dry,,,,,,,,,,,,,,,
#Acacia spectabilis A.Cunn. ex Benth.,,,,,dry,,,,,,,,,,,,,,,
#Hakea sericea Schrad. & J.C.Wendl.,,,,,dry,,,,,,,,,,,,,,,
#Senna barclayana (Sweet) Randell,,,,,dry,,,,,,,,,,,,,,,
ABIESNORDMANNIANA,,,,,,,,,,,,,woody,,,,,,,
ACACIA,,,,,,,Tree shrub intermediate,,,,,,,,,,,,,
ACHILLEA PTARMICA L.,,,,,,,b H,,,,1.0,,,,,,,,,5
ACTAEA SPICATA L.,,,,,,,b H,,,,8.0,,,,,,,,,2
ADIANTUM CAPILLUS-VENERIS,,,,,,,,,,,,,non-woody,,,,,,,
ADONIS ANNUA L.,orange,,,,nut,,herb,,,,,,,,,,,,,
ADOXA MOSCHATELLINA L.,,,,,,,b H,,,,,,,,,,,,,4
AESCULUS HIPPOCASTANUM L.,,,,,,,tree,,,,,,,,,,,,,Diffuse porous
AETHUSA CYNAPIUM L.,,,,,,,a T,,,,1.0,,,,,,,,,5
AGAPANTHUS PRAECOX Willd.,blue,,,,capsule,,herb,,,,,,,,,,,,,
AGRIMONIA EUPATORIA L.,,,,,,,perennial forb,,,,,,,,,,,,,
AGROSTEMMA GITHAGO L.,,,,,,,forb-annual,,,,1.0,,,,,,,,,
AIRA CARYOPHYLLEA L.,,,,,dry,,annual graminoid,,,,1.0,,,,,,,,,
AIRA PRAECOX L.,,,,,,,,,,,1.0,,,,,,,,,
AJUGA CHAMAEPITYS (L.) Schreb.,pink,,,,nut,,herb,,,,,,,,,,,,,
AJUGA PYRAMIDALIS L.,,,,,,,b H,,,,4.0,,,,,,,,,2
ALCHEMILLA ALPINA L.,,,,,,,b H,,,,17.0,,,,,,,,,2
ALCHEMILLA GLOMERULANS Buser,,,,,,,H,,,,2.0,,,,,,,,,2
ALLIUM ROSEUM L.,,,,,,,geophyte,,,,,,,,,,,,,
ALLIUM SCHOENOPRASUM L.,,,,,,,geophyte,,,,,,,,,,,,,
ALLIUM SPHAEROCEPHALON L.,,,,,dry,,forb,,,,,,,,,,,,,
ALLIUM TRIQUETRUM L.,,,,,dry,,geophyte,,,,,,,,,,,,,
ALLIUM URSINUM L.,,,,,dry,,geophyte,,,,,,,,,,,,,
ALTHAEA OFFICINALIS L.,,,,,,,b H,,,| 8131.0Gum (including mucilages),,,,,,,,,,4
ALYSSUM ALYSSOIDES (L.) L.,,,,,dry,,a T,,,,1.0,,,,,,,,,5
ALyssum tortuosum WilkJ.,,,,,,,herb,,,,Annual,,,,,,,,,
ANACAMPTIS MORIO,,,,,,,Free-standing,,,,,,non-woody,,,,,,,
ANAGALLIS ARVENSIS L.,,,,,dry,,forb-annual,,,,1.0,,,,,,,,,5
ANEMONE NEMOROSA L.,,,,,dry,,forb,,,,,,,,,,,,,4
ANGELICA ARCHANGELICA L.,,,,,,,h,,,,3-5,,,,,,,,,3
ANGELICA SYLVESTRIS L.,,,,,,,forb,,,,3-5,,,,,,,,,
ANOGRAMMA LEPTOPHYLLA (L.) Link,,,,,,,annual forb,,,,,,,,,,,,,
ANTENNARIA DIOICA (L.) Gaertn.,,dioecy,,,,,herb,,,,perennial,,H,,,,,,,
