species,n,Q05,Q95,A,B,C,D,E,F,G,climatic moisture index
Melicoccus oliviformis,347,-0.53,0.2,0,2,9,9,3,0,0,wet (2) | moist (9) | dry sub-humid (9) | semi-arid (3)
Melicoccus pedicellaris,29,0.14,0.49,0,1,0,0,0,0,0,wet (1)
Melicope accedens,57,0.23,0.61,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melicope adscendens,3,0.08,0.31,0,1,0,0,0,0,0,wet (1)
Melicope anisata,8,-0.08,0.53,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Melicope bakeri,6,0.14,0.25,0,1,0,0,0,0,0,wet (1)
Melicope balankazo,2,-0.27,0.21,0,2,3,0,0,0,0,wet (2) | moist (3)
Melicope balloui,4,0.31,0.8,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melicope barbigera,8,-0.17,0.18,0,2,3,0,0,0,0,wet (2) | moist (3)
Melicope belahe,25,-0.32,0.51,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Melicope bonwickii,115,0.02,0.62,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melicope bracteata,1,0.34,0.34,0,1,0,0,0,0,0,wet (1)
Melicope burmahia,4,0.26,0.28,0,1,0,0,0,0,0,wet (1)
Melicope burttiana,13,0.43,0.66,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melicope capillacea,3,0.57,0.77,1,0,0,0,0,0,0,very wet (1)
Melicope christophersenii,1,0.56,0.56,1,0,0,0,0,0,0,very wet (1)
Melicope clemensiae,5,0.42,0.54,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melicope clusiifolia,42,-0.08,0.71,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Melicope confusa,20,0.18,0.59,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melicope contermina,5,0.48,0.55,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melicope cruciata,3,0.76,0.78,1,0,0,0,0,0,0,very wet (1)
Melicope cucullata,3,0.38,0.52,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melicope degeneri,7,0.2,0.69,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melicope denhamii,163,0.21,0.63,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melicope durifolia,52,0.24,0.65,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melicope elleryana,817,-0.42,0.6,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Melicope evansensis,1,0.53,0.53,1,0,0,0,0,0,0,very wet (1)
Melicope fatraina,8,-0.33,0.4,0,2,3,0,0,0,0,wet (2) | moist (3)
Melicope feddei,6,-0.15,0.69,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Melicope floribunda,3,0.1,0.19,0,1,0,0,0,0,0,wet (1)
Melicope glabra,20,0.15,0.57,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melicope glomerata,11,-0.37,-0.05,0,0,2,3,0,0,0,moist (2) | dry sub-humid (3)
Melicope grisea,2,0.3,0.34,0,1,0,0,0,0,0,wet (1)
Melicope haleakalae,8,0.43,0.49,0,1,0,0,0,0,0,wet (1)
Melicope haupuensis,6,-0.15,0.23,0,2,3,0,0,0,0,wet (2) | moist (3)
Melicope hawaiensis,17,-0.09,0.52,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Melicope hiiakae,3,0.62,0.77,1,0,0,0,0,0,0,very wet (1)
Melicope hivaoaensis,9,0.2,0.45,0,1,0,0,0,0,0,wet (1)
Melicope hookeri,14,0.3,0.59,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melicope hosakae,3,-0.44,0.75,2,9,9,3,0,0,0,very wet (2) | wet (9) | moist (9) | dry sub-humid (3)
Melicope incana,16,0.26,0.63,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melicope inopinata,4,0.26,0.38,0,1,0,0,0,0,0,wet (1)
Melicope jonesii,43,-0.11,0.65,2,9,3,0,0,0,0,very wet (2) | wet (9) | moist (3)
Melicope jugosa,1,0.64,0.64,1,0,0,0,0,0,0,very wet (1)
Melicope kainantuensis,3,0.24,0.29,0,1,0,0,0,0,0,wet (1)
Melicope kavaiensis,4,0.1,0.57,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melicope knudsenii,4,-0.29,0.04,0,2,3,0,0,0,0,wet (2) | moist (3)
Melicope lasioneura,15,0.16,0.46,0,1,0,0,0,0,0,wet (1)
Melicope latifolia,56,0.21,0.64,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melicope lucida,11,0.34,0.58,2,3,0,0,0,0,0,very wet (2) | wet (3)
Melicope lunu-ankenda,79,0.17,0.61,2,3,0,0,0,0,0,very wet (2) | wet (3)
