species|n|Q05|Q95|A|B|C|D|E|F|G
Acacia merinthophora|59|-0.82|-0.73|0|0|0|0|2|3|0
Acacia microbotrya|298|-0.8|-0.5|0|0|0|2|3|0|0
Acacia microcybe|30|-0.75|-0.64|0|0|0|0|1|0|0
Acacia microsperma|78|-0.82|-0.62|0|0|0|0|2|3|0
Acacia mimula|344|-0.43|0.04|0|2|9|3|0|0|0
Acacia minniritchi|37|-0.66|-0.34|0|0|2|9|3|0|0
Acacia minyura|313|-0.89|-0.78|0|0|0|0|2|3|0
Acacia mollifolia|108|-0.63|-0.34|0|0|2|9|3|0|0
Acacia montana|1079|-0.76|-0.44|0|0|0|2|3|0|0
Acacia monticola|651|-0.84|-0.55|0|0|0|0|2|3|0
Acacia mountfordiae|36|-0.24|-0.09|0|0|1|0|0|0|0
Acacia muelleriana|117|-0.61|-0.46|0|0|0|2|3|0|0
Acacia mulganeura|141|-0.87|-0.76|0|0|0|0|2|3|0
Acacia multisiliqua|557|-0.66|-0.04|0|0|2|9|3|0|0
Acacia multispicata|385|-0.8|-0.65|0|0|0|0|1|0|0
Acacia multistipulosa|35|-0.2|-0.07|0|0|1|0|0|0|0
Acacia murrayana|1377|-0.93|-0.71|0|0|0|0|2|3|0
Acacia myrtifolia|7347|-0.6|0.23|0|2|9|9|3|0|0
Acacia nanodealbata|186|-0.23|0.41|0|2|3|0|0|0|0
Acacia neriifolia|1000|-0.59|-0.26|0|0|2|9|3|0|0
